# Training PerovskitesMODNet_2L # Initial Number of Features: 1020
n_bottleneck_ratio|      n_bottleneck|        train_loss|          val_loss|       correlation|       cosine dist|               MAE|              RMSE|                R2|  RMSE zero-vector|
               1.0               1020          0.0003786         0.00473191         0.00467861         0.00318218         0.01206394         0.06877937         0.86404109         0.34573519 
               0.9                918         0.00040485         0.00782068         0.00575266         0.00397065         0.01186241          0.0884348         0.77521324         0.34573519 
               0.8                816         0.00036512         0.00365113         0.00751293         0.00528741         0.01383254         0.06042447         0.89523828         0.34573519 
               0.7                714         0.00039054         0.00441624         0.01328164         0.00977859         0.01632919         0.06645712         0.87615044         0.34573519 
               0.6                612         0.00037814         0.00483133         0.01328229         0.01009082          0.0171511         0.06950794         0.86778317         0.34573519 
               0.5                510         0.00035636         0.00347838         0.00666471         0.00472236         0.01373376         0.05897816         0.90056677         0.34573519 
               0.4                408         0.00038376          0.0056827         0.01337352           0.010118         0.01508884         0.07538381         0.83693189         0.34573519 
               0.3                306         0.00038462         0.00279643         0.00682051         0.00491884         0.01305123         0.05288126         0.91965867         0.34573519 
               0.2                204         0.00039952         0.00860228         0.00733528         0.00540579         0.01345434          0.0927486         0.75277035         0.34573519 
               0.1                102          0.0003865         0.00995269         0.01418017          0.0104828         0.01608053         0.09976314         0.71579048         0.34573519 
