# Training PerovskitesMODNet_2n_n_b # Initial Number of Features: 1020
n_bottleneck_ratio|      n_bottleneck|        train_loss|          val_loss|       correlation|       cosine dist|               MAE|              RMSE|                R2|  RMSE zero-vector|
               0.9              918.0         0.00115497         0.00808977          0.0070463         0.00497246         0.01970151         0.08994315         0.76749699         0.34573519 
               0.8              816.0         0.00122008         0.00820467          0.0076308         0.00533445         0.02059511         0.09057958          0.7641844         0.34573519 
               0.7              714.0         0.00129223         0.00818897         0.00729991         0.00513867         0.02080514         0.09049295         0.76464581         0.34573519 
               0.6              612.0         0.00123404         0.00814614         0.00731925         0.00514095         0.02031252         0.09025595           0.765867         0.34573519 
               0.9                918         0.00042462         0.00826387         0.01160185         0.00870276         0.01735346         0.09090754         0.76248798         0.34573519 
              0.85                867         0.00051655         0.03469865         0.02564462          0.0220481         0.03263541         0.18627988         0.00419506         0.34573519 
               0.8                815         0.00040754         0.01083287            0.01895          0.0145472         0.02147908          0.1040713         0.68873834         0.34573519 
              0.75                764         0.00048149         0.01146118          0.0168285          0.0122288         0.01913314         0.10705691         0.67070078         0.34573519 
               0.7                713         0.00044288           0.013602         0.01717686          0.0129371         0.02120039         0.11663135         0.60930512         0.34573519 
              0.65                662         0.00048488         0.01457997          0.0218428         0.01664015         0.02172256         0.12074898         0.58130279         0.34573519 
               0.6                611         0.00046727          0.0196074         0.02729588         0.02279694         0.02301429         0.14002495         0.43651229         0.34573519 
              0.55                560         0.00049752         0.01740237          0.0249479         0.01992096         0.02697684         0.13191806         0.49987314         0.34573519 
               0.5                509         0.00047167         0.01762708         0.02746253         0.02089792         0.02573761         0.13276816         0.49348673         0.34573519 
              0.45                458         0.00049605          0.0124315         0.01936531         0.01468071         0.02089072         0.11149523            0.64273         0.34573519 
               0.4                407         0.00050054         0.01514406         0.02212107          0.0171056         0.02223524         0.12306221         0.56524836         0.34573519 
              0.35                356         0.00047517         0.02210663         0.03097431         0.02409574         0.02769631         0.14867867         0.36489819         0.34573519 
               0.3                305         0.00053317          0.0095532         0.01163276         0.00842437         0.01593505         0.09773943         0.72549913         0.34573519 
              0.25                254         0.00054624         0.03861309         0.03506494         0.02882012         0.03317221         0.19650216        -0.10861665         0.34573519 
               0.2                203         0.00051259         0.01589881         0.02101102         0.01595336         0.02059849          0.1260766         0.54315099         0.34573519 
              0.15                152         0.00112024         0.01119891         0.01567428         0.01190113         0.01914851         0.10581958          0.6781452         0.34573519 
               0.1                101         0.00063069         0.00570357         0.01430693         0.00993983         0.01868331         0.07552198         0.83610384         0.34573519 
              0.05                 50         0.00073757          0.0304597         0.04059682         0.03274774         0.03478644         0.17452709         0.12516678         0.34573519 
