# Training PerovskitesMODNet_3n_2n_b # Initial Number of Features: 1020
n_bottleneck_ratio|      n_bottleneck|        train_loss|          val_loss|       correlation|       cosine dist|               MAE|              RMSE|                R2|  RMSE zero-vector|
               0.9                918         0.00066054         0.01176536         0.01430061         0.01136713         0.01489229         0.10846758         0.66183655         0.34573519 
              0.85                867         0.00082719         0.00888772         0.01051005         0.00749947            0.01563         0.09427433         0.74454763         0.34573519 
               0.8                815         0.00038306         0.00598047         0.01134803         0.00853612         0.01732674         0.07733211         0.82816215         0.34573519 
              0.75                764         0.00040907         0.00648215         0.01496815           0.011325          0.0180315         0.08051028         0.81397664         0.34573519 
               0.7                713         0.00043262         0.00899262         0.00873121          0.0062312         0.01424633         0.09482925         0.74173657         0.34573519 
              0.65                662         0.00048559         0.00912881         0.00821629         0.00576737         0.01314593         0.09554572         0.73796889         0.34573519 
               0.6                611          0.0005053         0.04745182          0.0249614          0.0245946         0.03899557         0.21782826        -0.36366261         0.34573519 
              0.55                560         0.00041015         0.00869181         0.01618926          0.0123648          0.0197387         0.09322916         0.75034373         0.34573519 
               0.5                509          0.0007701         0.00827125         0.00779078         0.00544587           0.014056         0.09094639         0.76226396         0.34573519 
              0.45                458         0.00057786         0.00965321         0.01164414         0.00828753         0.01625729         0.09825041         0.72279943         0.34573519 
               0.4                407          0.0004157         0.01128427         0.01999793         0.01428812         0.01999004         0.10622853         0.67592176         0.34573519 
              0.35                356         0.00074191         0.00877838         0.01042676         0.00785989         0.01560153         0.09369314         0.74770014         0.34573519 
               0.3                305         0.00044939         0.00676769         0.01166965         0.00847532         0.01632863         0.08226526         0.80571532         0.34573519 
              0.25                254         0.00043192         0.00914344         0.01824957         0.01330431         0.02055124         0.09561981          0.7377437         0.34573519 
               0.2                203          0.0004966         0.01607732         0.01934433           0.014933         0.02432072         0.12679589         0.53823292         0.34573519 
              0.15                152         0.00053842         0.03590371         0.02729689         0.02177974         0.03083941         0.18947888        -0.03057133         0.34573519 
               0.1                101         0.00048108         0.00984845         0.01441525         0.01201034         0.01970791         0.09923803         0.71730106         0.34573519 
              0.05                 50         0.00126413         0.00941947         0.01233063         0.00923336         0.01884776         0.09705367         0.72926647         0.34573519 
