# Training PerovskitesMODNet_n_b # Initial Number of Features: 1020
n_bottleneck_ratio|      n_bottleneck|        train_loss|          val_loss|       correlation|       cosine dist|               MAE|              RMSE|                R2|  RMSE zero-vector|
               0.9                918          0.0003314         0.00729872         0.00251485         0.00182095          0.0098812         0.08543259         0.79021531         0.34573519 
              0.85                867         0.00033168         0.00736449         0.00287546         0.00207233           0.010004          0.0858164         0.78833008         0.34573519 
               0.8                815          0.0003063         0.00732978         0.00254051         0.00184096         0.00969866         0.08561452         0.78932416         0.34573519 
              0.75                764         0.00033124         0.00670143         0.00245883         0.00176216         0.00951981         0.08186225         0.80739048         0.34573519 
               0.7                713         0.00031907         0.00733966         0.00241849         0.00176576         0.00930825         0.08567183         0.78904297         0.34573519 
              0.65                662         0.00032832         0.00265873         0.00196564         0.00133594         0.00932589         0.05156346         0.92358485         0.34573519 
               0.6                611         0.00034839         0.00723321         0.00253959         0.00183482         0.00951544         0.08504827         0.79210405         0.34573519 
              0.55                560         0.00034759         0.00306539         0.00231955         0.00159425         0.00990342         0.05536595         0.91189896         0.34573519 
               0.5                509         0.00036329          0.0074105         0.00295963         0.00212788         0.00999787         0.08608445         0.78700606         0.34573519 
              0.45                458         0.00036207         0.00748524         0.00316767         0.00226265         0.00998536         0.08651728         0.78485761         0.34573519 
               0.4                407         0.00039638         0.00735542         0.00275413          0.0019822         0.01009289         0.08576341         0.78859075         0.34573519 
              0.35                356         0.00040312         0.00740638         0.00293699         0.00210639         0.01083756         0.08606012         0.78712503         0.34573519 
               0.3                305         0.00044797         0.00293644         0.00287714         0.00196056         0.01090164         0.05418906         0.91561119         0.34573519 
              0.25                254         0.00046872         0.00744496         0.00313044         0.00224699         0.01069473          0.0862842         0.78601673         0.34573519 
               0.2                203         0.00055361         0.00757481         0.00409543         0.00288018         0.01223157         0.08703401         0.78228178         0.34573519 
              0.15                152         0.00062464         0.00753857         0.00387203         0.00272307         0.01194069         0.08682496         0.78332598         0.34573519 
               0.1                101         0.00079648         0.00765136          0.0046066         0.00322419         0.01323753         0.08747209         0.78008325         0.34573519 
              0.05                 50         0.00122859         0.00822185         0.00851992         0.00580367          0.0170672         0.09067443         0.76368342         0.34573519 
