# Training PerovskitesMODNet # Initial Number of Features: 1020
n_bottleneck_ratio|      n_bottleneck|        train_loss|          val_loss|       correlation|       cosine dist|               MAE|              RMSE|                R2|  RMSE zero-vector|
               0.2                204          0.0003438         0.00134998         0.00200567         0.00137292         0.00932291         0.03674164         0.96120623         0.34573519 
              0.19                193         0.00031944         0.00327127         0.00204608         0.00141112         0.00962628         0.05719227         0.90601688         0.34573519 
              0.18                183         0.00034692         0.00154736         0.00209205         0.00142349         0.00959717         0.03933673         0.95553145         0.34573519 
              0.17                173         0.00035792         0.00296259         0.00224675          0.0015287         0.00976586          0.0544297         0.91518882         0.34573519 
              0.16                163         0.00035548         0.00829136         0.00241334         0.00168352         0.01095986          0.0910537         0.76209114         0.34573519 
              0.15                152         0.00036219         0.00323271         0.00217965         0.00149704         0.01005644         0.05686302         0.91052583         0.34573519 
              0.14                142         0.00037046         0.00136728         0.00216638         0.00147249         0.00954717         0.03697493          0.9607245         0.34573519 
              0.13                132         0.00039294         0.00392916         0.00243701         0.00167716         0.01074873          0.0626826         0.88715133         0.34573519 
              0.12                122         0.00040963          0.0022566         0.00226523          0.0015384         0.01014429         0.04750295         0.93519086         0.34573519 
              0.11                112         0.00042785          0.0022739         0.00261075         0.00177493         0.01063408         0.04768401         0.93465166         0.34573519 
               0.1                101         0.00045678         0.00744594         0.00256298         0.00173573         0.01095584         0.08628776          0.7860453         0.34573519 
              0.09                 91         0.00049441         0.00283567         0.00287538         0.00195139         0.01143273           0.053249         0.91855001         0.34573519 
              0.08                 81         0.00051812         0.00158324         0.00293711         0.00197988         0.01120537          0.0397899         0.95451142         0.34573519 
              0.07                 71         0.00060584         0.00748823         0.00383808         0.00269808          0.0119993         0.08653501         0.78476749         0.34573519 
              0.06                 61         0.00066253         0.00752761          0.0041643         0.00291753         0.01263192         0.08676182         0.78364385         0.34573519 
              0.05                 50         0.00083113         0.00771744         0.00479951         0.00335635          0.0135231         0.08784897         0.77818177         0.34573519 
              0.04                 40         0.00104201         0.00892251         0.00583864         0.00406902         0.01530092         0.09446081         0.74370461         0.34573519 
              0.03                 30          0.0014416         0.00815927         0.00792202         0.00544367         0.01721845         0.09032866         0.76548189         0.34573519 
              0.02                 20         0.00224016          0.0087937         0.01174028         0.00802488         0.02084543          0.0937747         0.74725226         0.34573519 
              0.01                 10         0.00435086         0.01056725         0.02350923         0.01602729         0.03116461         0.10279713         0.69628366         0.34573519 
               0.3                306         0.00028328         0.00029664         0.00187146         0.00126961         0.00906721          0.0172229         0.98929016         0.33533027 
              0.29                295         0.00027836         0.00028359         0.00177112         0.00120545         0.00856179         0.01683999         0.98980174         0.33533027 
              0.28                285         0.00034168         0.00038454         0.00246076         0.00167076         0.01090584         0.01960861         0.98612698         0.33533027 
              0.27                275         0.00031889          0.0002906         0.00186104         0.00125802         0.00890501         0.01704782         0.98956391         0.33533027 
              0.26                265         0.00029577         0.00029239         0.00184995         0.00125602         0.00884327          0.0170997         0.98947213         0.33533027 
              0.25                254         0.00030111         0.00030003         0.00190921         0.00129377         0.00895497         0.01732137         0.98919266         0.33533027 
              0.24                244         0.00028873         0.00027535         0.00176645         0.00118848         0.00853114          0.0165938          0.9900776         0.33533027 
              0.23                234         0.00030034         0.00031353         0.00201395         0.00135569         0.00932077         0.01770666         0.98870286         0.33533027 
              0.22                224          0.0003158         0.00030162         0.00191884         0.00129753         0.00905459         0.01736658         0.98918859         0.33533027 
              0.21                214         0.00030891         0.00030521          0.0019684         0.00132612          0.0091422         0.01747034         0.98902841         0.33533027 
             0.097                 98         0.00047577         0.00041627          0.0027311         0.00183283         0.01090818         0.02040253         0.98498593         0.33533027 
             0.094                 95         0.00048172         0.00040979         0.00268399         0.00179638         0.01055174         0.02024294         0.98520718         0.33533027 
             0.091                 92         0.00053248         0.00046451         0.00302877         0.00203194         0.01164935         0.02155234         0.98322335         0.33533027 
             0.088                 89         0.00051745         0.00042091          0.0027655         0.00184631         0.01069345         0.02051597         0.98478651         0.33533027 
             0.085                 86         0.00051669         0.00042997          0.0028423         0.00189722          0.0108989         0.02073611         0.98447124         0.33533027 
             0.082                 83         0.00051608         0.00046609         0.00304107         0.00203623         0.01125018          0.0215895         0.98322006         0.33533027 
             0.079                 80         0.00054592         0.00043814         0.00287511          0.0019193         0.01080398         0.02093195         0.98419181         0.33533027 
             0.076                 77         0.00054611          0.0004659         0.00305535         0.00203953         0.01114731         0.02158484         0.98318897         0.33533027 
             0.073                 74         0.00060753         0.00050585         0.00332432         0.00222324         0.01190244         0.02249128         0.98173987         0.33533027 
