# Training PerovskitesOFM # Initial Number of Features: 361
n_bottleneck_ratio|      n_bottleneck|        train_loss|          val_loss|       correlation|       cosine dist|               MAE|              RMSE|                R2|  RMSE zero-vector|
               0.2                 72          6.778e-05         0.00011518         0.00299243         0.00284564         0.00291678         0.01073321         0.98315315         0.09998316 
              0.19                 68          7.243e-05         0.00010304         0.00266189         0.00253293         0.00290967          0.0101515         0.98499088         0.09998316 
              0.18                 64          7.996e-05          0.0001268         0.00326998          0.0031133         0.00304996          0.0112613         0.98144825         0.09998316 
              0.17                 61          8.634e-05         0.00012684         0.00413904         0.00392627         0.00330173         0.01126276         0.98144166         0.09998316 
              0.16                 57          7.817e-05          9.582e-05         0.00302195          0.0028674         0.00289957         0.00978877         0.98598842         0.09998316 
              0.15                 54          8.402e-05         0.00012238         0.00356579          0.0033803         0.00331216         0.01106389          0.9820828         0.09998316 
             0.145                 52          8.325e-05         0.00013819         0.00353556         0.00335862         0.00327357         0.01175581          0.9797892         0.09998316 
              0.14                 50          8.982e-05         0.00011251         0.00320862         0.00304414           0.003188         0.01060665         0.98353729         0.09998316 
             0.135                 48          9.594e-05         0.00010415         0.00334415         0.00318089         0.00332777         0.01020445         0.98476747         0.09998316 
              0.13                 46          9.302e-05         0.00013766         0.00347078         0.00331006         0.00326922         0.01173236           0.979859         0.09998316 
             0.125                 45         0.00010299         0.00017337         0.00525719         0.00499326         0.00409026         0.01316755         0.97464958         0.09998316 
              0.12                 43         0.00010175           9.59e-05         0.00321294         0.00305224         0.00313604         0.00979262         0.98596442         0.09998316 
             0.115                 41         0.00010027         0.00012234         0.00356408         0.00338987         0.00343238         0.01106043         0.98211029         0.09998316 
              0.11                 39         0.00010627         0.00013125         0.00416186         0.00396748         0.00368099         0.01145619         0.98086024         0.09998316 
               0.1                 36         0.00012137         0.00014639         0.00429812         0.00408413         0.00394678         0.01209955         0.97859348         0.09998316 
              0.09                 32          0.0001441         0.00016016         0.00516319         0.00492458         0.00444973          0.0126558         0.97658952         0.09998316 
              0.08                 28         0.00016352          0.0001362         0.00456149         0.00433471         0.00390009         0.01167096         0.98006399         0.09998316 
              0.07                 25         0.00017551         0.00013999         0.00472475         0.00448563         0.00385156         0.01183174         0.97954701         0.09998316 
              0.06                 21           0.000223         0.00017507          0.0060838          0.0057855         0.00459396         0.01323192         0.97437582         0.09998316 
              0.05                 18         0.00025811         0.00016753         0.00706135         0.00672089         0.00527904         0.01294375          0.9754922         0.09998316 
              0.04                 14         0.00040388         0.00028925         0.01173351          0.0111474         0.00630486         0.01700696         0.95766662         0.09998316 
              0.03                 10         0.00073377         0.00067435         0.02636211          0.0250648         0.00925203         0.02596862         0.90128542         0.09998316 
              0.02                  7         0.00118764         0.00083221         0.04240594         0.04019496          0.0110343         0.02884856         0.87817389         0.09998316 
              0.01                  3         0.00256552         0.00222293         0.12576456         0.11943282         0.01640585         0.04714855         0.67457114         0.09998316 
